run_id,stem,face_id,model,procedure,control,identity_cosine,change_target,change_offtarget,change_localization,gt_identity_cosine,latency_s,cost_estimate_usd,cached,legacy_regions
20260716-212205_045769b,real-03__seedream-5-0__rhinoplasty__prompt-only,real_03,seedream_5_0,rhinoplasty,prompt_only,0.9483360052108764,,,,0.4618756771087646,49.97710799999186,0.035,False,False
20260716-212205_045769b,real-03__seedream-5-0__rhinoplasty__masked-composite,real_03,seedream_5_0,rhinoplasty,masked_composite,0.956332802772522,,,,0.4579373300075531,44.48621640000784,0.035,False,False
20260716-212205_045769b,real-04__seedream-5-0__rhinoplasty__prompt-only,real_04,seedream_5_0,rhinoplasty,prompt_only,0.9494627714157104,,,,0.7474701404571533,45.54424209998979,0.035,False,False
20260716-212205_045769b,real-04__seedream-5-0__rhinoplasty__masked-composite,real_04,seedream_5_0,rhinoplasty,masked_composite,0.967568337917328,,,,0.7502679228782654,46.05654570000479,0.035,False,False
20260716-212205_045769b,real-02__flux-2-pro__rhinoplasty__prompt-only,real_02,flux_2_pro,rhinoplasty,prompt_only,0.5201656222343445,,,,0.3359854519367218,14.989514200002304,0.045,False,False
20260716-212205_045769b,real-02__flux-2-pro__rhinoplasty__masked-composite,real_02,flux_2_pro,rhinoplasty,masked_composite,0.4280356466770172,,,,0.3068122267723083,16.131512799998745,0.045,False,False
20260716-212205_045769b,real-03__flux-2-pro__rhinoplasty__prompt-only,real_03,flux_2_pro,rhinoplasty,prompt_only,0.6634209156036377,,,,0.4130046963691711,17.291506900000968,0.045,False,False
20260716-212205_045769b,real-03__flux-2-pro__rhinoplasty__masked-composite,real_03,flux_2_pro,rhinoplasty,masked_composite,0.6214333176612854,,,,0.3811973333358764,15.29027290000522,0.045,False,False
20260716-212205_045769b,real-04__flux-2-pro__rhinoplasty__prompt-only,real_04,flux_2_pro,rhinoplasty,prompt_only,0.6296791434288025,,,,0.4658634066581726,18.61322930001188,0.045,False,False
20260716-212205_045769b,real-04__flux-2-pro__rhinoplasty__masked-composite,real_04,flux_2_pro,rhinoplasty,masked_composite,0.693113386631012,,,,0.5241923332214355,18.47198420000496,0.045,False,False
20260716-212918_045769b,real-02__qwen-image-edit-inpaint__rhinoplasty__masked-inpaint,real_02,qwen_image_edit_inpaint,rhinoplasty,masked_inpaint,0.9647502899169922,,,,0.5853033065795898,10.43233950001013,0.03,False,False
20260716-212918_045769b,real-03__qwen-image-edit-inpaint__rhinoplasty__masked-inpaint,real_03,qwen_image_edit_inpaint,rhinoplasty,masked_inpaint,0.9295837879180908,,,,0.487699419260025,15.05195320000348,0.03,False,False
20260716-212918_045769b,real-04__qwen-image-edit-inpaint__rhinoplasty__masked-inpaint,real_04,qwen_image_edit_inpaint,rhinoplasty,masked_inpaint,0.9265685081481934,,,,0.7380821704864502,14.874911500010056,0.03,False,False
20260709-035453_9aac77d,real-12__gpt-image-2__rhinoplasty-then-deep-plane-facelift__masked-composite,real_12,gpt_image_2,rhinoplasty_then_deep_plane_facelift,masked_composite,0.8478448390960693,10.129122247138282,0.1916717116019948,0.9814285885012096,,,,True,False
20260709-035453_9aac77d,real-12__gpt-image-2__deep-plane-facelift-then-rhinoplasty__masked-composite,real_12,gpt_image_2,deep_plane_facelift_then_rhinoplasty,masked_composite,0.8406134247779846,9.518424396006358,0.1527262065672058,0.984208062427798,,,,True,False
20260716-211403_045769b,real-01__gpt-image-2__deep-plane-facelift__prompt-only,real_01,gpt_image_2,deep_plane_facelift,prompt_only,0.9203603267669678,5.092950678910764,2.838031489834928,0.6421588865728378,0.7076950073242188,50.73054639999464,0.06,False,False
20260716-211403_045769b,real-01__gpt-image-2__deep-plane-facelift__masked-composite,real_01,gpt_image_2,deep_plane_facelift,masked_composite,0.9135521054267884,3.8146158117497526,0.0697467972304925,0.9820442105303852,0.6981644630432129,48.47578559999238,0.06,False,False
20260716-211403_045769b,real-02__gpt-image-2__deep-plane-facelift__prompt-only,real_02,gpt_image_2,deep_plane_facelift,prompt_only,0.9056017398834229,4.653888828962569,3.5143147716410152,0.5697567123104855,0.7183380126953125,54.85017219999281,0.06,False,False
20260716-211403_045769b,real-02__gpt-image-2__deep-plane-facelift__masked-composite,real_02,gpt_image_2,deep_plane_facelift,masked_composite,0.9588084816932678,3.948394830380627,0.0937708733295411,0.9768018235265634,0.7224235534667969,57.561547199991765,0.06,False,False
20260716-211403_045769b,real-03__gpt-image-2__deep-plane-facelift__prompt-only,real_03,gpt_image_2,deep_plane_facelift,prompt_only,0.9427006244659424,5.2323428925448345,4.388431645967998,0.5438587996838811,0.6577392220497131,53.79728919999616,0.06,False,False
20260716-211403_045769b,real-03__gpt-image-2__deep-plane-facelift__masked-composite,real_03,gpt_image_2,deep_plane_facelift,masked_composite,0.9568986892700196,4.870831166479039,0.0665934870859223,0.9865125056566,0.6560672521591187,56.567743000006885,0.06,False,False
20260716-211403_045769b,real-04__gpt-image-2__deep-plane-facelift__prompt-only,real_04,gpt_image_2,deep_plane_facelift,prompt_only,0.8954458236694336,2.9487889313578672,2.4752338072043254,0.5436534973191385,0.7852126359939575,49.196048099998734,0.06,False,False
20260716-211403_045769b,real-04__gpt-image-2__deep-plane-facelift__masked-composite,real_04,gpt_image_2,deep_plane_facelift,masked_composite,0.9403218626976012,2.814784948198956,0.0498657086678066,0.9825927435346172,0.8121027946472168,48.300109600008,0.06,False,False
20260716-211403_045769b,real-05__gpt-image-2__deep-plane-facelift__prompt-only,real_05,gpt_image_2,deep_plane_facelift,prompt_only,0.9276572465896606,3.4855624680130517,3.753067553871901,0.4815223954636383,0.7767059206962585,53.577012199995806,0.06,False,False
20260716-211403_045769b,real-05__gpt-image-2__deep-plane-facelift__masked-composite,real_05,gpt_image_2,deep_plane_facelift,masked_composite,0.9626643061637878,2.545905274255011,0.0505504912122166,0.980530963829796,0.7827386260032654,50.86201659998915,0.06,False,False
20260716-211403_045769b,real-06__gpt-image-2__deep-plane-facelift__prompt-only,real_06,gpt_image_2,deep_plane_facelift,prompt_only,0.8935800194740295,3.399595385313994,3.065461880227049,0.5258414961664676,0.701034426689148,52.721325499995146,0.06,False,False
20260716-211403_045769b,real-06__gpt-image-2__deep-plane-facelift__masked-composite,real_06,gpt_image_2,deep_plane_facelift,masked_composite,0.9022291302680968,3.244689829764689,0.0579029539842001,0.9824674255121236,0.7060180902481079,59.72159400000237,0.06,False,False
20260716-211403_045769b,real-07__gpt-image-2__deep-plane-facelift__prompt-only,real_07,gpt_image_2,deep_plane_facelift,prompt_only,0.9083489775657654,3.959640418538173,2.809717868445951,0.584935861077353,0.7902010679244995,47.30269369999587,0.06,False,False
20260716-211403_045769b,real-07__gpt-image-2__deep-plane-facelift__masked-composite,real_07,gpt_image_2,deep_plane_facelift,masked_composite,0.902644693851471,4.491755144576606,0.0671886757783902,0.985262227738275,0.7958521842956543,50.451758600000176,0.06,False,False
20260716-211403_045769b,real-08__gpt-image-2__deep-plane-facelift__prompt-only,real_08,gpt_image_2,deep_plane_facelift,prompt_only,0.8936488628387451,4.246110213484327,3.174052921163206,0.5722394691914038,0.5784204602241516,51.69213139999192,0.06,False,False
20260716-211403_045769b,real-08__gpt-image-2__deep-plane-facelift__masked-composite,real_08,gpt_image_2,deep_plane_facelift,masked_composite,0.928646206855774,3.5206884767776736,0.0930374247592244,0.974254432324362,0.5909873843193054,54.356228000004194,0.06,False,False
20260716-211403_045769b,real-01__gpt-image-2-low__deep-plane-facelift__prompt-only,real_01,gpt_image_2_low,deep_plane_facelift,prompt_only,0.8920990228652954,6.121059011000809,5.158686319295622,0.5426593271179774,0.6773439049720764,23.116950700001325,0.015,False,False
20260716-211403_045769b,real-01__gpt-image-2-low__deep-plane-facelift__masked-composite,real_01,gpt_image_2_low,deep_plane_facelift,masked_composite,0.8276570439338684,5.284325576197685,0.0745676613243335,0.9860852496925628,0.6318744421005249,18.322543100002804,0.015,False,False
20260716-211403_045769b,real-02__gpt-image-2-low__deep-plane-facelift__prompt-only,real_02,gpt_image_2_low,deep_plane_facelift,prompt_only,0.9073323011398317,6.504578467167754,4.653605662813701,0.5829423848357452,0.7150729298591614,22.90291449999495,0.015,False,False
20260716-211403_045769b,real-02__gpt-image-2-low__deep-plane-facelift__masked-composite,real_02,gpt_image_2_low,deep_plane_facelift,masked_composite,0.8699522018432617,6.179182178161598,0.1217258287174177,0.9806812242641024,0.6735146045684814,24.19353200000478,0.015,False,False
20260716-211403_045769b,real-03__gpt-image-2-low__deep-plane-facelift__prompt-only,real_03,gpt_image_2_low,deep_plane_facelift,prompt_only,0.8953118920326233,7.029639541050627,4.620848684888289,0.6033772494958345,0.6187939047813416,19.39695880000363,0.015,False,False
20260716-211403_045769b,real-03__gpt-image-2-low__deep-plane-facelift__masked-composite,real_03,gpt_image_2_low,deep_plane_facelift,masked_composite,0.9386143684387208,5.0519890119551,0.0675423188304426,0.9868069332002548,0.6647707223892212,19.21132970000326,0.015,False,False
20260716-211403_045769b,real-04__gpt-image-2-low__deep-plane-facelift__prompt-only,real_04,gpt_image_2_low,deep_plane_facelift,prompt_only,0.8428070545196533,4.458998705112535,4.081654052787616,0.522091089698962,0.7956591844558716,23.19670610000321,0.015,False,False
20260716-211403_045769b,real-04__gpt-image-2-low__deep-plane-facelift__masked-composite,real_04,gpt_image_2_low,deep_plane_facelift,masked_composite,0.8745816946029663,3.959339684819029,0.0487813107647397,0.9878293816931952,0.7830690741539001,20.226287999990745,0.015,False,False
20260716-211403_045769b,real-05__gpt-image-2-low__deep-plane-facelift__prompt-only,real_05,gpt_image_2_low,deep_plane_facelift,prompt_only,0.8237566351890564,4.500899797439957,3.839538012632432,0.539647905773533,0.694106936454773,25.177195700001903,0.015,False,False
20260716-211403_045769b,real-05__gpt-image-2-low__deep-plane-facelift__masked-composite,real_05,gpt_image_2_low,deep_plane_facelift,masked_composite,0.8626854419708252,3.226499887814294,0.0689609289549076,0.979073964829442,0.7203769683837891,20.282767700002296,0.015,False,False
20260716-211403_045769b,real-06__gpt-image-2-low__deep-plane-facelift__prompt-only,real_06,gpt_image_2_low,deep_plane_facelift,prompt_only,0.842604398727417,5.025006735227738,4.512885714272758,0.5268466552577765,0.6755150556564331,20.886349200009136,0.015,False,False
20260716-211403_045769b,real-06__gpt-image-2-low__deep-plane-facelift__masked-composite,real_06,gpt_image_2_low,deep_plane_facelift,masked_composite,0.8773599863052368,3.640379572566815,0.0675908434338614,0.9817714717619664,0.6893302798271179,29.45802089999779,0.015,False,False
20260716-211403_045769b,real-07__gpt-image-2-low__deep-plane-facelift__prompt-only,real_07,gpt_image_2_low,deep_plane_facelift,prompt_only,0.7957013845443726,5.957462208881623,5.344569154303397,0.527114287462281,0.7311933040618896,27.798451100010425,0.015,False,False
20260716-211403_045769b,real-07__gpt-image-2-low__deep-plane-facelift__masked-composite,real_07,gpt_image_2_low,deep_plane_facelift,masked_composite,0.8561195135116577,5.853405652056682,0.0854358624750703,0.9856140524602286,0.7280600070953369,26.5728967999894,0.015,False,False
20260716-211403_045769b,real-08__gpt-image-2-low__deep-plane-facelift__prompt-only,real_08,gpt_image_2_low,deep_plane_facelift,prompt_only,0.8908997774124146,7.653282061153286,5.536789251117592,0.5802305294614555,0.5486508011817932,20.99970349999785,0.015,False,False
20260716-211403_045769b,real-08__gpt-image-2-low__deep-plane-facelift__masked-composite,real_08,gpt_image_2_low,deep_plane_facelift,masked_composite,0.907763123512268,4.735680839634295,0.0973338268245246,0.9798606390541243,0.5787454843521118,28.81853599999158,0.015,False,False
20260716-211403_045769b,real-01__nano-banana-pro__deep-plane-facelift__prompt-only,real_01,nano_banana_pro,deep_plane_facelift,prompt_only,0.9371052980422974,3.8892359136400185,3.0154394365539616,0.563275710498214,0.7186650037765503,24.54949740000302,0.15,False,False
20260716-211403_045769b,real-01__nano-banana-pro__deep-plane-facelift__masked-composite,real_01,nano_banana_pro,deep_plane_facelift,masked_composite,0.9512288570404052,3.277935751657791,0.0818838681018114,0.9756284927856722,0.7310904264450073,20.815567500001634,0.15,False,False
20260716-211403_045769b,real-02__nano-banana-pro__deep-plane-facelift__prompt-only,real_02,nano_banana_pro,deep_plane_facelift,prompt_only,0.917970597743988,3.775075462117754,2.829288219693512,0.5716032072119972,0.7251099944114685,21.99422120000236,0.15,False,False
20260716-211403_045769b,real-02__nano-banana-pro__deep-plane-facelift__masked-composite,real_02,nano_banana_pro,deep_plane_facelift,masked_composite,0.9458080530166626,3.025414511369912,0.0942090575252867,0.9698011457328968,0.7394562363624573,122.87106869999845,0.15,False,False
20260716-211403_045769b,real-03__nano-banana-pro__deep-plane-facelift__prompt-only,real_03,nano_banana_pro,deep_plane_facelift,prompt_only,0.9690277576446532,3.228416042391038,3.4907781815196173,0.4804766665179176,0.6809952259063721,24.29298350001045,0.15,False,False
20260716-211403_045769b,real-03__nano-banana-pro__deep-plane-facelift__masked-composite,real_03,nano_banana_pro,deep_plane_facelift,masked_composite,0.9767784476280212,3.4433210511455337,0.0717350355112551,0.9795920651782593,0.6802939772605896,22.89967430000252,0.15,False,False
20260716-211403_045769b,real-04__nano-banana-pro__deep-plane-facelift__prompt-only,real_04,nano_banana_pro,deep_plane_facelift,prompt_only,0.896721363067627,3.330193880991442,2.86379492650842,0.5376493217035114,0.7823290824890137,20.578064099987387,0.15,False,False
20260716-211403_045769b,real-04__nano-banana-pro__deep-plane-facelift__masked-composite,real_04,nano_banana_pro,deep_plane_facelift,masked_composite,0.9235937595367432,3.2180054478550506,0.0585602822615425,0.9821275423461568,0.8021433353424072,19.61497840000084,0.15,False,False
20260716-211403_045769b,real-05__nano-banana-pro__deep-plane-facelift__prompt-only,real_05,nano_banana_pro,deep_plane_facelift,prompt_only,0.9849916696548462,2.234544434600487,2.117085479837053,0.5134959724371019,0.8052302598953247,20.794269000005443,0.15,False,False
20260716-211403_045769b,real-05__nano-banana-pro__deep-plane-facelift__masked-composite,real_05,nano_banana_pro,deep_plane_facelift,masked_composite,0.9768368601799012,2.138636903809768,0.0677495023743493,0.9692939087258428,0.7886500358581543,21.204764099995373,0.15,False,False
20260716-211403_045769b,real-06__nano-banana-pro__deep-plane-facelift__prompt-only,real_06,nano_banana_pro,deep_plane_facelift,prompt_only,0.8736926317214966,3.071842965479884,2.839379129117905,0.5196629252497911,0.6670065522193909,23.99310700000205,0.15,False,False
20260716-211403_045769b,real-06__nano-banana-pro__deep-plane-facelift__masked-composite,real_06,nano_banana_pro,deep_plane_facelift,masked_composite,0.8890751600265503,2.680050253008873,0.0695633205269714,0.9747006920548776,0.6806408166885376,23.113808699999936,0.15,False,False
20260716-211403_045769b,real-07__nano-banana-pro__deep-plane-facelift__prompt-only,real_07,nano_banana_pro,deep_plane_facelift,prompt_only,0.936433732509613,3.3398438038410663,2.7153732991722435,0.5515646668026207,0.8106980919837952,20.433017299990752,0.15,False,False
20260716-211403_045769b,real-07__nano-banana-pro__deep-plane-facelift__masked-composite,real_07,nano_banana_pro,deep_plane_facelift,masked_composite,0.9482244253158568,3.2382849658493518,0.0772556379492655,0.97669893173356,0.8089668154716492,19.154073600002448,0.15,False,False
20260716-211403_045769b,real-08__nano-banana-pro__deep-plane-facelift__prompt-only,real_08,nano_banana_pro,deep_plane_facelift,prompt_only,0.9021573066711426,3.580014238978422,2.754328239376248,0.5651753518556708,0.5685785412788391,24.577717199994368,0.15,False,False
20260716-211403_045769b,real-08__nano-banana-pro__deep-plane-facelift__masked-composite,real_08,nano_banana_pro,deep_plane_facelift,masked_composite,0.91517835855484,3.289980288022748,0.0907679764939261,0.9731515128036596,0.5860263705253601,21.23823559998709,0.15,False,False
20260716-211403_045769b,real-01__nano-banana-2__deep-plane-facelift__prompt-only,real_01,nano_banana_2,deep_plane_facelift,prompt_only,0.9477709531784058,3.326838499706628,2.6498163408042585,0.5566388872177616,0.7257177829742432,12.369876099997782,0.08,False,False
20260716-211403_045769b,real-01__nano-banana-2__deep-plane-facelift__masked-composite,real_01,nano_banana_2,deep_plane_facelift,masked_composite,0.9516960382461548,3.3109651967753693,0.0789315830038218,0.976715638223957,0.7294440269470215,11.487940199993318,0.08,False,False
20260716-211403_045769b,real-02__nano-banana-2__deep-plane-facelift__prompt-only,real_02,nano_banana_2,deep_plane_facelift,prompt_only,0.9521633386611938,3.1781693158816715,3.353999118806384,0.4865412378230332,0.7356536388397217,12.842388999997638,0.08,False,False
20260716-211403_045769b,real-02__nano-banana-2__deep-plane-facelift__masked-composite,real_02,nano_banana_2,deep_plane_facelift,masked_composite,0.9631149172782898,2.933059686355294,0.0968767829677642,0.968026793977826,0.7275839447975159,14.760737199991128,0.08,False,False
20260716-211403_045769b,real-03__nano-banana-2__deep-plane-facelift__prompt-only,real_03,nano_banana_2,deep_plane_facelift,prompt_only,0.951365292072296,3.5148861733409573,3.4419636380327403,0.5052410600548684,0.6528778076171875,11.027182000005268,0.08,False,False
20260716-211403_045769b,real-03__nano-banana-2__deep-plane-facelift__masked-composite,real_03,nano_banana_2,deep_plane_facelift,masked_composite,0.9658897519111632,3.7405781415713855,0.0702828342247334,0.9815572295417964,0.6750006675720215,11.00437109998893,0.08,False,False
20260716-211403_045769b,real-04__nano-banana-2__deep-plane-facelift__prompt-only,real_04,nano_banana_2,deep_plane_facelift,prompt_only,0.9246155023574828,3.7009226129873407,3.786961023331996,0.494254824559016,0.8291422128677368,13.692387000002782,0.08,False,False
20260716-211403_045769b,real-04__nano-banana-2__deep-plane-facelift__masked-composite,real_04,nano_banana_2,deep_plane_facelift,masked_composite,0.9308796525001526,3.5910766772291622,0.0640359166134903,0.9824804530723994,0.8191691040992737,13.541085899996688,0.08,False,False
20260716-211403_045769b,real-05__nano-banana-2__deep-plane-facelift__prompt-only,real_05,nano_banana_2,deep_plane_facelift,prompt_only,0.928579807281494,5.173292133170201,3.939558394164553,0.5676919771319063,0.7871801853179932,12.000131000007968,0.08,False,False
20260716-211403_045769b,real-05__nano-banana-2__deep-plane-facelift__masked-composite,real_05,nano_banana_2,deep_plane_facelift,masked_composite,0.9596090912818908,2.9034156594752782,0.081535893649595,0.97268434941122,0.8020485639572144,13.270915400004014,0.08,False,False
20260716-211403_045769b,real-06__nano-banana-2__deep-plane-facelift__prompt-only,real_06,nano_banana_2,deep_plane_facelift,prompt_only,0.872592568397522,3.609580636937944,2.671172140216885,0.5747050974633455,0.6626218557357788,13.455210400003123,0.08,False,False
20260716-211403_045769b,real-06__nano-banana-2__deep-plane-facelift__masked-composite,real_06,nano_banana_2,deep_plane_facelift,masked_composite,0.8828126192092896,3.3317786357544272,0.0654924815541068,0.9807220326866368,0.6599648594856262,15.579973100000643,0.08,False,False
20260716-211403_045769b,real-07__nano-banana-2__deep-plane-facelift__prompt-only,real_07,nano_banana_2,deep_plane_facelift,prompt_only,0.8903964161872864,4.080501338582946,3.829839704930096,0.5158439207787638,0.8003005385398865,16.2615334999864,0.08,False,False
